Keyword,CTR,Click share,Search top IS,Avg.cost,,
 +umd +mis +program,0.0678,0.4748,0.5978,6.514285714,,
[masters of quantitative finance],0.0435,0.4706,0.5078,14.94285714,,
 +marketing +analytics +graduate +program,0.1429,0.6135,0.7143,58.35714286,,
[business graduate programs],0.0433,0.3507,0.486,32.8,,
 +masters +in +marketing +analytics,0.0813,0.3756,0.4213,44.32857143,,
 +marketing +analytics +masters,0.0536,0.3927,0.3982,32.12857143,,
 +ms +in +marketing +analytics,0.0405,0.3894,0.4615,44.24285714,,
 +quantitative +finance +program,0.0293,0.4006,0.3745,16.28571429,,
[non mba business masters],0.1111,0.3958,0.28,22.45714286,,
 +master +in +banking +and +finance,0.0095,0.2499,0.2738,5.257142857,,
 +business +masters +programs,0.0654,0.23,0.2614,22.27142857,,
 +best +mis +programs,0.0636,0.2613,0.258,12.6,,
 +ms +supply +chain +management,0.0442,0.2337,0.2754,28.25714286,,
 +finance +masters +degree,0.0447,0.1737,0.2359,21.94285714,,
 +supply +chain +management +masters,0.037,0.1894,0.2531,30.22857143,,
 +finance +masters +program,0.0359,0.1695,0.2487,19.71428571,,
 +business +management +graduate +program,0.0408,0.2467,0.2198,19.11428571,,
 +master +of +applied +finance,0.0278,0.1555,0.2308,32.72857143,,
[business masters programs],0.0605,0.22,0.1957,22.02857143,,
 +online +ms +supply +chain +management,0.0426,0.1052,0.1973,32.37142857,,
 +msis +programs,0.0317,0.2536,0.2752,7.785714286,,
 +ms +logistics +and +supply +chain +management,0.0789,0.1598,0.1875,38.64285714,,
[masters in mis],0.0137,0.1848,0.1622,12.31428571,,
 +supply +chain +management +masters +degree,0.0412,0.1253,0.1674,35.24285714,,
 +masters +in +supply +chain +management +online,0.0341,0.1011,0.1286,63.4,,
[ms in information systems],0.0187,0.1594,0.1328,12.32857143,,
 +mba +alternatives,0.0248,0.3672,0.211,17.85714286,,
 +business +management +masters,0.1066,0.1273,0.1003,13.8,,
 +supply +chain +management +ms +programs,0.05,0.1811,0.1719,12.87142857,,
 +management +information +systems +degree,0.016,0.1401,0.1035,11.82857143,,
